N;T;Pc;Pm;Selection;Crossover;bestFitness;Time(ms);worstFitness
50;200;0.500;0.001;Tournament;OnePoint;13603263;24;13603263
50;200;0.500;0.001;Tournament;OnePoint;13565106;19;12719678
50;200;0.500;0.001;Tournament;OnePoint;13585954;16;13517280
50;200;0.500;0.001;Tournament;OnePoint;13545709;14;13545709
50;200;0.500;0.001;Tournament;OnePoint;13583206;12;13583206
50;200;0.500;0.001;Roulette;OnePoint;13321163;24;11698981
50;200;0.500;0.001;Roulette;OnePoint;13654201;19;11722295
50;200;0.500;0.001;Roulette;OnePoint;13145627;15;10331187
50;200;0.500;0.001;Roulette;OnePoint;13208327;15;9826119
50;200;0.500;0.001;Roulette;OnePoint;13654201;14;11169985
50;200;0.500;0.001;Tournament;TwoPoint;13656377;10;11588173
50;200;0.500;0.001;Tournament;TwoPoint;13436811;10;13436811
50;200;0.500;0.001;Tournament;TwoPoint;13683217;9;13683217
50;200;0.500;0.001;Tournament;TwoPoint;13629963;9;13629963
50;200;0.500;0.001;Tournament;TwoPoint;13442334;8;13442334
50;200;0.500;0.001;Roulette;TwoPoint;13654201;6;13075049
50;200;0.500;0.001;Roulette;TwoPoint;13405991;8;11337787
50;200;0.500;0.001;Roulette;TwoPoint;13484335;9;11955689
50;200;0.500;0.001;Roulette;TwoPoint;13654201;9;13005655
50;200;0.500;0.001;Roulette;TwoPoint;13114517;9;10967969
50;200;0.500;0.010;Tournament;OnePoint;13595823;11;12651203
50;200;0.500;0.010;Tournament;OnePoint;13583206;10;9757637
50;200;0.500;0.010;Tournament;OnePoint;13692887;9;12105564
50;200;0.500;0.010;Tournament;OnePoint;13654201;8;11585997
50;200;0.500;0.010;Tournament;OnePoint;13608750;8;11507899
50;200;0.500;0.010;Roulette;OnePoint;13447085;10;8531974
50;200;0.500;0.010;Roulette;OnePoint;13653419;10;8247746
50;200;0.500;0.010;Roulette;OnePoint;13629963;9;9204540
50;200;0.500;0.010;Roulette;OnePoint;13611815;11;8925629
50;200;0.500;0.010;Roulette;OnePoint;13654201;11;8205922
50;200;0.500;0.010;Tournament;TwoPoint;13692887;10;9755646
50;200;0.500;0.010;Tournament;TwoPoint;13656377;8;11211755
50;200;0.500;0.010;Tournament;TwoPoint;13554190;7;11394489
50;200;0.500;0.010;Tournament;TwoPoint;13621849;7;11421806
50;200;0.500;0.010;Tournament;TwoPoint;13683217;8;11772716
50;200;0.500;0.010;Roulette;TwoPoint;13449467;12;8717671
50;200;0.500;0.010;Roulette;TwoPoint;13620293;7;9665700
50;200;0.500;0.010;Roulette;TwoPoint;13692887;11;7124447
50;200;0.500;0.010;Roulette;TwoPoint;13683217;10;7868258
50;200;0.500;0.010;Roulette;TwoPoint;13288033;10;10216261
50;200;0.500;0.020;Tournament;OnePoint;13692887;7;11328810
50;200;0.500;0.020;Tournament;OnePoint;13692887;8;8846270
50;200;0.500;0.020;Tournament;OnePoint;13692887;9;11592036
50;200;0.500;0.020;Tournament;OnePoint;13692887;9;9003973
50;200;0.500;0.020;Tournament;OnePoint;13692887;8;9898574
50;200;0.500;0.020;Roulette;OnePoint;13445056;14;9469029
50;200;0.500;0.020;Roulette;OnePoint;13434031;14;7554509
50;200;0.500;0.020;Roulette;OnePoint;13502658;13;5320227
50;200;0.500;0.020;Roulette;OnePoint;13439174;12;8220286
50;200;0.500;0.020;Roulette;OnePoint;13477137;11;8775496
50;200;0.500;0.020;Tournament;TwoPoint;13692887;11;11405968
50;200;0.500;0.020;Tournament;TwoPoint;13692887;9;10788659
50;200;0.500;0.020;Tournament;TwoPoint;13629963;9;10414802
50;200;0.500;0.020;Tournament;TwoPoint;13692887;9;12859755
50;200;0.500;0.020;Tournament;TwoPoint;13692887;9;10477726
50;200;0.500;0.020;Roulette;TwoPoint;13575075;11;6430589
50;200;0.500;0.020;Roulette;TwoPoint;13614543;9;5518268
50;200;0.500;0.020;Roulette;TwoPoint;13250519;11;7450154
50;200;0.500;0.020;Roulette;TwoPoint;13422541;11;4129309
50;200;0.500;0.020;Roulette;TwoPoint;13692887;11;8388699
50;200;0.500;0.050;Tournament;OnePoint;13452160;7;9882048
50;200;0.500;0.050;Tournament;OnePoint;13683217;10;9315280
50;200;0.500;0.050;Tournament;OnePoint;13654201;10;7180603
50;200;0.500;0.050;Tournament;OnePoint;13459561;10;10908077
50;200;0.500;0.050;Tournament;OnePoint;13692887;10;11053797
50;200;0.500;0.050;Roulette;OnePoint;13499888;11;8255822
50;200;0.500;0.050;Roulette;OnePoint;13445762;11;6828037
50;200;0.500;0.050;Roulette;OnePoint;13468095;10;7995927
50;200;0.500;0.050;Roulette;OnePoint;13240041;11;6158423
50;200;0.500;0.050;Roulette;OnePoint;13584745;11;5911113
50;200;0.500;0.050;Tournament;TwoPoint;13683937;11;8713200
50;200;0.500;0.050;Tournament;TwoPoint;13614543;10;9451041
50;200;0.500;0.050;Tournament;TwoPoint;13683937;10;9573393
50;200;0.500;0.050;Tournament;TwoPoint;13692887;10;8570210
