Iteracja;Srednia;Najlepsza
0;12109971.45;13487207.00
20;11672673.08;13629963.00
40;11837991.98;13584745.00
60;11174520.93;13605593.00
80;11322159.85;13465840.00
100;11446127.20;13593658.00
120;11483226.48;13507183.00
140;11505008.65;13558000.00
160;11482712.37;13667228.00
180;11506995.39;13575857.00
200;11482303.44;13606941.00
220;11428818.82;13585527.00
240;11414407.25;13480127.00
260;11502413.72;13624111.00
280;11378125.46;13570269.00
300;11388458.78;13629963.00
320;11598315.93;13555009.00
340;11573158.60;13587274.00
360;11639489.18;13692887.00
380;11789679.48;13598389.00
400;11588488.39;13494466.00
420;11367678.98;13674267.00
440;11586957.38;13653419.00
460;11867408.07;13629963.00
480;11471651.85;13590002.00
500;11761039.34;13683217.00
520;11486380.67;13692887.00
540;11524169.98;13595823.00
560;11608701.06;13692887.00
580;11552343.68;13497334.00
600;11513960.23;13692887.00
620;11326876.54;13692887.00
640;11746734.58;13683937.00
660;11774712.39;13583789.00
680;11669355.33;13683217.00
700;11640757.25;13683217.00
720;11323942.50;13589868.00
740;11504553.22;13683937.00
760;11428055.40;13588269.00
780;11511458.49;13469441.00
800;11497897.11;13692887.00
820;11519434.22;13683937.00
840;11718875.82;13653024.00
860;11311846.66;13585527.00
880;11608924.65;13572978.00
900;11655701.05;13683217.00
920;11321686.75;13575857.00
940;11613573.54;13692887.00
960;11636087.15;13514532.00
980;11534934.30;13604045.00
1000;11440625.16;13683217.00
