Iteracja;Srednia;Najlepsza
0;12063299.83;13692887.00
20;11226269.78;13484335.00
40;11602143.37;13656377.00
60;11503731.40;13674267.00
80;11320842.72;13527676.00
100;11634155.19;13692887.00
120;11480655.67;13692887.00
140;11508977.65;13653419.00
160;11299896.56;13683217.00
180;11426699.43;13644380.00
200;11530467.52;13514532.00
220;11443699.47;13606574.00
240;11623199.02;13629963.00
260;11432848.93;13683937.00
280;11490076.88;13692887.00
300;11452575.86;13653024.00
320;11391070.62;13614543.00
340;11415326.63;13674267.00
360;11296744.53;13605593.00
380;11505464.26;13683217.00
400;11386933.14;13683217.00
420;11615499.43;13644380.00
440;11505061.80;13654201.00
460;11395873.24;13499888.00
480;11626044.82;13547523.00
500;11416460.22;13683217.00
520;11489154.04;13555009.00
540;11572022.01;13587703.00
560;11750764.79;13654201.00
580;11715336.21;13614543.00
600;11608540.27;13538668.00
620;11606021.75;13692887.00
640;11372776.49;13583362.00
660;11633826.69;13692887.00
680;11541740.48;13683937.00
700;11480177.46;13692887.00
720;11630608.57;13509925.00
740;11243492.91;13524054.00
760;11291471.74;13506401.00
780;11459480.22;13620293.00
800;11481352.49;13587675.00
820;11491123.57;13618193.00
840;11520412.67;13575857.00
860;11477505.79;13653419.00
880;11547877.00;13692887.00
900;11467820.37;13575075.00
920;11475347.14;13586093.00
940;11636701.83;13606221.00
960;11695057.68;13674267.00
980;11447750.23;13483719.00
1000;11543472.58;13692887.00
