Iteracja;Srednia;Najlepsza
0;11961986.95;13586921.00
20;12755475.64;13692887.00
40;13007959.53;13692887.00
60;12773906.02;13692887.00
80;13002701.98;13692887.00
100;12810730.63;13692887.00
120;12792932.67;13692887.00
140;13030293.65;13692887.00
160;13034741.10;13692887.00
180;12912480.17;13692887.00
200;12994203.73;13692887.00
220;12916112.74;13692887.00
240;12910612.60;13692887.00
260;12794028.38;13692887.00
280;12982288.44;13692887.00
300;12752368.00;13692887.00
320;12812008.84;13692887.00
340;12827277.02;13692887.00
360;13047366.05;13692887.00
380;12821387.69;13692887.00
400;13026090.33;13692887.00
420;12851463.46;13692887.00
440;12883492.94;13692887.00
460;12918435.37;13692887.00
480;12908114.06;13692887.00
500;12954461.89;13692887.00
520;12864956.01;13692887.00
540;12746338.13;13692887.00
560;12942543.96;13692887.00
580;12986489.99;13692887.00
600;13054718.48;13692887.00
620;12968966.10;13692887.00
640;13047922.90;13692887.00
660;12832718.23;13692887.00
680;12798505.60;13692887.00
700;12876136.33;13692887.00
720;12867180.96;13692887.00
740;12824831.63;13692887.00
760;12860383.79;13692887.00
780;12818570.24;13692887.00
800;12957278.73;13692887.00
820;12851497.29;13692887.00
840;13069581.89;13692887.00
860;12934774.57;13692887.00
880;12993229.79;13692887.00
900;13005764.11;13692887.00
920;12853984.89;13692887.00
940;12883064.90;13692887.00
960;12936744.29;13692887.00
980;12905481.87;13692887.00
1000;12779918.20;13692887.00
