Iteracja;Srednia;Najlepsza
0;12087922.51;13422463.00
20;12665886.66;13692887.00
40;12989096.27;13692887.00
60;13044896.61;13692887.00
80;12918802.48;13692887.00
100;12981746.38;13692887.00
120;13033226.70;13692887.00
140;12722794.16;13692887.00
160;12835964.49;13692887.00
180;12925590.04;13692887.00
200;12904169.09;13692887.00
220;12768541.38;13692887.00
240;12934632.79;13692887.00
260;12697515.43;13692887.00
280;12834622.14;13692887.00
300;12961033.63;13692887.00
320;12773981.83;13692887.00
340;12969950.17;13692887.00
360;12821289.38;13692887.00
380;12856241.52;13692887.00
400;12873983.01;13692887.00
420;12883267.96;13692887.00
440;12884260.09;13692887.00
460;12892823.20;13692887.00
480;12866134.80;13692887.00
500;12912589.98;13692887.00
520;12929405.33;13692887.00
540;12972155.58;13692887.00
560;12875110.35;13692887.00
580;12894128.66;13692887.00
600;12966769.10;13692887.00
620;12779331.73;13692887.00
640;12846501.17;13692887.00
660;12909988.48;13692887.00
680;13075436.50;13692887.00
700;12856083.51;13692887.00
720;12980654.53;13692887.00
740;12922453.28;13692887.00
760;12978962.94;13692887.00
780;12988134.03;13692887.00
800;12829986.26;13692887.00
820;12818567.16;13692887.00
840;12861044.23;13692887.00
860;12802190.72;13692887.00
880;12814257.22;13692887.00
900;12808903.59;13692887.00
920;12761967.89;13692887.00
940;12881269.21;13692887.00
960;12959149.04;13692887.00
980;13031922.83;13692887.00
1000;12994820.55;13692887.00
